                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                0.70489,                0.33253,                0.97572,                0.99444,                0.99678,                0.99322,                0.85303,                  0.638,                0.24642,                0.95313,              4.649e-05,              4.649e-05,              4.649e-05
                    127,                0.69446,                0.32488,                0.97218,                0.99465,                0.99696,                0.99311,                0.85257,                0.64178,                 0.2471,                0.95394,               4.48e-05,               4.48e-05,               4.48e-05
                    128,                0.68928,                0.32356,                0.97144,                0.99475,                0.99663,                 0.9936,                0.85403,                0.63726,                0.24588,                0.95305,              4.311e-05,              4.311e-05,              4.311e-05
                    129,                0.69769,                0.33021,                0.98116,                0.99485,                0.99655,                0.99353,                0.85142,                0.63869,                0.24469,                 0.9536,             4.1421e-05,             4.1421e-05,             4.1421e-05
                    130,                0.69602,                0.32641,                0.97653,                0.99447,                0.99655,                 0.9933,                0.85255,                0.63582,                0.24345,                0.95275,             3.9731e-05,             3.9731e-05,             3.9731e-05
                    131,                 0.6873,                0.31985,                0.96968,                0.99446,                0.99668,                0.99365,                 0.8532,                0.63693,                0.24334,                0.95261,             3.8042e-05,             3.8042e-05,             3.8042e-05
                    132,                0.68828,                0.32614,                0.96744,                 0.9949,                0.99696,                0.99307,                0.85482,                0.63437,                0.24147,                0.95083,             3.6352e-05,             3.6352e-05,             3.6352e-05
                    133,                0.68956,                0.32947,                0.97165,                0.99489,                0.99695,                0.99298,                0.85497,                0.63226,                0.24113,                0.95075,             3.4662e-05,             3.4662e-05,             3.4662e-05
                    134,                  0.688,                0.32669,                0.96796,                0.99526,                0.99742,                0.99276,                0.85456,                0.63152,                0.24221,                0.94995,             3.2973e-05,             3.2973e-05,             3.2973e-05
                    135,                 0.6853,                0.32114,                0.97357,                 0.9947,                0.99752,                0.99322,                0.85685,                0.63077,                0.23992,                0.95001,             3.1283e-05,             3.1283e-05,             3.1283e-05
                    136,                0.68591,                0.32458,                0.97247,                0.99423,                0.99755,                0.99374,                0.85551,                0.63022,                0.24115,                0.94968,             2.9594e-05,             2.9594e-05,             2.9594e-05
                    137,                0.67608,                0.31563,                0.97086,                 0.9946,                0.99751,                0.99335,                0.85771,                 0.6286,                0.23918,                0.94831,             2.7904e-05,             2.7904e-05,             2.7904e-05
                    138,                0.67932,                0.32036,                0.97208,                0.99509,                0.99746,                 0.9938,                 0.8572,                0.62763,                0.23885,                0.94777,             2.6214e-05,             2.6214e-05,             2.6214e-05
